Transaction Date,Local Authority Department,BENEFICIARY,Purpose,Amount,Non Recoverable,Merchant Category
07-02-2024,Inclusive Economy & Housing,BK Property Mangement Services Ltd,Rents Payable,1472.5,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,BK Property Mangement Services Ltd,Rents Payable,1178,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,BK Property Mangement Services Ltd,Rents Payable,1395,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,BK Property Mangement Services Ltd,Rents Payable,1116,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,BK Property Mangement Services Ltd,Rents Payable,1116,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,BK Property Mangement Services Ltd,Rents Payable,1488,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,BK Property Mangement Services Ltd,Rents Payable,1860,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,BK Property Mangement Services Ltd,Rents Payable,1680,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,BK Property Mangement Services Ltd,Rents Payable,840,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,1550,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,1860,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,1550,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,1550,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,2635,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,2325,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,3410,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,2325,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,2325,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,2380,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,2635,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,2635,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,2635,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,3410,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,4340,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,1798,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,750,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,750,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,775,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,560,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,1050,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,365 Romford Road Ltd,Rents Payable,1085,0,COMMERCIAL SUPPLIER
07-02-2024,Inclusive Economy & Housing,Personal Information - Redacted,Rents Payable,1767,0,INDIVIDUALS
07-02-2024,Inclusive Economy & Housing,OS Homes Ltd,Rents Payable,1472.5,0,
